idLU,frameName,luName,origin,status,senseDescription,annotationset_count,annotation_count
253,frm_accompaniment,com.adp,WEBTOOL,CREATED,"na companhia de.",92,0
39513,frm_accompaniment,com.adv,WEBTOOL,CREATED,,13,0
32177,frm_accompaniment,com.cconj,WEBTOOL,CREATED,with.,0,0
26447,frm_accompaniment,sozinho.adj,WEBTOOL,CREATED,"estar sem companhia, na solidão.",42,0
48873,frm_accompaniment,sozinho.adv,FNBK,PENDING,"FN: Sozinho, por si só",0,0
40264,frm_accoutrements,sombreiro.noun,WEBTOOL,CREATED,"Chapéu com abas muito largas.",2,0
40265,frm_accoutrements,sombreiro.noun,WEBTOOL,CREATED,"Chapéu com abas muito largas.",1,2
40320,frm_accoutrements,sombreiro.noun,WEBTOOL,CREATED,"Chapéu com abas muito largas.",0,1
40321,frm_accoutrements,sombreiro.noun,WEBTOOL,CREATED,"Chapéu com abas muito largas.",0,2
49731,frm_achieving_first,pioneiro.adj,FNBK,PENDING,"FN: a atividade de ser pioneiro",0,0
49730,frm_achieving_first,pioneiro.noun,FNBK,PENDING,"FN: aquele que vai primeiro para um território desconhecido ou que é o primeiro a desenvolver um processo ou produto em um novo campo de pensamento",0,0
39952,frm_active_substance,agente.adj,WEBTOOL,CREATED,,4,0
44257,frm_active_substance,agente.noun,FNBK,PENDING,"FN: uma substância capaz de produzir um efeito",0,0
38031,frm_addiction,alcoolista.adj,WEBTOOL,CREATED,"pessoa que tem um hábito excessivo e crônico de consumo de álcool, frequentemente resultando em problemas físicos, sociais ou psicológicos.",0,0
41402,frm_addiction,alcoolista.adj,WEBTOOL,CREATED,"pessoa que tem um hábito excessivo e crônico de consumo de álcool, frequentemente resultando em problemas físicos, sociais ou psicológicos.",2,0
38846,frm_addiction,drogado.adj,WEBTOOL,CREATED,"fisicamente dependente de substância químicas. ",2,0
38845,frm_addiction,drogado.noun,WEBTOOL,CREATED,"aquele que possui um vício em alguma substância química. ",0,0
41401,frm_addiction,usuário.adj,WEBTOOL,CREATED,"adjetivo que caracteriza a pessoa que faz uso frequente de drogas.",30,0
38802,frm_addiction,usuário.noun,WEBTOOL,CREATED,"diz-se daquele que faz uso frequente de intoxicantes.",12,0
26240,frm_addiction,viciado.adj,WEBTOOL,CREATED,"Fisicamente dependente de uma substância em particular.",4,0
26208,frm_addiction,viciado.noun,WEBTOOL,CREATED,"Uma pessoa que é viciada em alguma coisa.",0,0
51531,frm_adjacency,vizinho.adj,FNBK,PENDING,"FN: em uma área adjacente.",0,0
22243,frm_adjacency,vizinho.noun,WEBTOOL,CREATED,"que está localizado perto",5,0
24849,frm_adjusting,adaptar.verb,WEBTOOL,CREATED,"ato de se enquadrar em uma nova situação.",6,0
43445,frm_adjusting,adaptar.verb,LOME,PENDING,,2,0
39886,frm_affirm_or_deny,positivo.adj,WEBTOOL,CREATED,,2,0
38995,frm_affirm_or_deny,positivo.noun,WEBTOOL,CREATED,"exprime uma afirmação ou confirmação.",5,0
22413,frm_aggregate,colônia.noun,WEBTOOL,CREATED,"grupo de migrantes que deixam sua terra de origem e vão povoar, cultivar e explorar uma terra estrangeira",2,0
43119,frm_aggregate,colônia.noun,USER,CREATED,"conjunto de organismos da mesma espécie que vivem fisicamente juntos.",0,0
18945,frm_aggregate,multiplicidade.noun,WEBTOOL,CREATED,multiplicity,0,0
