lemmaName(en),lemmaName(pt),idPOS,senseDescription(pt),idLU,source_file
hindrance,obstáculo,83,"COD: uma coisa que dificulta.",13354,lus_imported_from_english_with_lemma_chunk100_2025-11-14_170756.csv
impediment,impedimento,83,"COD: obstáculo ou impedimento.",13355,lus_imported_from_english_with_lemma_chunk100_2025-11-14_170756.csv
obstruction,obstrução,83,"COD: a ação de obstruir ou o estado de ser obstruído.",13357,lus_imported_from_english_with_lemma_chunk100_2025-11-14_170756.csv
obstruction,obstrução,83,"COD: um obstáculo.",13358,lus_imported_from_english_with_lemma_chunk100_2025-11-14_170756.csv
hurdle,obstáculo,83,"COD: um obstáculo ou dificuldade.",13362,lus_imported_from_english_with_lemma_chunk100_2025-11-14_170756.csv
hardship,dificuldade,83,"FN: dificuldade ou desafio",13363,lus_imported_from_english_with_lemma_chunk100_2025-11-14_170756.csv
curtail,restringir,86,"FN: causar (um evento ou ação) para progredir mais lentamente.",13371,lus_imported_from_english_with_lemma_chunk100_2025-11-14_170756.csv
deviation,desvio,83,"FN: o fato de ser diferente (da norma esperada).",30938,lus_imported_from_english_with_lemma_chunk100_2025-11-14_170756.csv
variation,variação,83,"Uma mudança ou diferença em condição, quantidade ou nível, tipicamente com certos limites.",31314,lus_imported_from_english_with_lemma_chunk100_2025-11-14_170756.csv
how,como,89,"Ser como, ou semelhante.",33762,lus_imported_from_english_with_lemma_chunk100_2025-11-14_170756.csv
abuse,abusar,86,"FN: maltratar cruelmente, especialmente fisicamente ou sexualmente",13412,lus_imported_from_english_with_lemma_chunk100_2025-11-14_170756.csv
batter,espancar,86,"COD: sujeito (cônjuge, parceiro ou filho) a violência e agressão repetidas",13414,lus_imported_from_english_with_lemma_chunk100_2025-11-14_170756.csv
maltreat,maltratar,86,"COD: tratar cruelmente ou com violência.",13416,lus_imported_from_english_with_lemma_chunk100_2025-11-14_170756.csv
report,reportar,86,"FN: informar as autoridades sobre ações erradas de alguém",13418,lus_imported_from_english_with_lemma_chunk100_2025-11-14_170756.csv
inform,dedurar,86,"COD: fornecer informações incriminatórias sobre (alguém) à polícia ou a outra autoridade.",13420,lus_imported_from_english_with_lemma_chunk100_2025-11-14_170756.csv
snitch,dedurar,86,"COD: informar sobre alguém.",13424,lus_imported_from_english_with_lemma_chunk100_2025-11-14_170756.csv
snitch,informante,83,"COD: um informante.",13428,lus_imported_from_english_with_lemma_chunk100_2025-11-14_170756.csv
shoot,atirar,86,"FN: disparar uma arma de fogo de forma que outro objeto seja atingido por um projétil.",13431,lus_imported_from_english_with_lemma_chunk100_2025-11-14_170756.csv
hit,acertar,86,"COD: acertar (um alvo).",13432,lus_imported_from_english_with_lemma_chunk100_2025-11-14_170756.csv
deportment,porte,83,"COD: o comportamento ou as maneiras de uma pessoa",13436,lus_imported_from_english_with_lemma_chunk100_2025-11-14_170756.csv
act,agir,86,"FN: comportar-se de uma determinada maneira.",13442,lus_imported_from_english_with_lemma_chunk100_2025-11-14_170756.csv
bearing,atitude,83,"COD: o modo de ficar, mover-se ou comportar-se de uma pessoa.",13444,lus_imported_from_english_with_lemma_chunk100_2025-11-14_170756.csv
conduct,comportar-se,86,"COD: a maneira como uma pessoa se comporta.",13445,lus_imported_from_english_with_lemma_chunk100_2025-11-14_170756.csv
manner,maneira,83,"COD: a atitude ou comportamento de uma pessoa em relação aos outros.",13449,lus_imported_from_english_with_lemma_chunk100_2025-11-14_170756.csv
way,jeito,83,"FN: comportamento externo de uma pessoa em relação aos outros.",13451,lus_imported_from_english_with_lemma_chunk100_2025-11-14_170756.csv
investigate,investigar,86,"COD: realizar uma investigação sistemática ou formal (de um incidente, pessoa ou alegação) para estabelecer a verdade de um evento criminoso.",13456,lus_imported_from_english_with_lemma_chunk100_2025-11-14_170756.csv
clue,dica,83,"COD: um fato ou peça de evidência que revela uma verdade oculta ou resolve um problema.",13462,lus_imported_from_english_with_lemma_chunk101_2025-11-14_171052.csv
case,caso,83,"FN: uma situação que está sob investigação pelas autoridades legais para determinar se um crime foi cometido e se uma acusação é apropriada.",13463,lus_imported_from_english_with_lemma_chunk101_2025-11-14_171052.csv
wrong,ilegal,84,"FN: em violação da lei (devido ao abuso de poder)",13473,lus_imported_from_english_with_lemma_chunk101_2025-11-14_171052.csv
prohibited,proibido,84,"FN: proibido por lei",13474,lus_imported_from_english_with_lemma_chunk101_2025-11-14_171052.csv
fair,justo,84,"FN: legal (esp. no domínio dos desportos)",13476,lus_imported_from_english_with_lemma_chunk101_2025-11-14_171052.csv
"give up",entregar-se,86,"FN: apresentar-se às autoridades",13480,lus_imported_from_english_with_lemma_chunk101_2025-11-14_171052.csv
