lemmaName(pt),lemmaName(en),idPOS,udPOS,idUDPOS,idLanguage,senseDescription(pt),frameName,source_line,reason
induz,induce,86,VERB,16,1,"COD: trazer sobre ou dar origem a.",Causation,6,"Lemma not found in database"
"desde que",since,91,CCONJ,5,1,"COD: pelo motivo de; porque.",Causation,7,"Lemma not found in database"
"desde que",since,94,CCONJ,5,1,"COD: pelo motivo de; porque.",Causation,8,"Lemma not found in database"
"por causa de","because of",90,ADP,2,1,"COD: por motivo de.",Causation,11,"Lemma not found in database"
"para que",so,91,CCONJ,5,1,"FN: a fim de, causando",Causation,14,"Lemma not found in database"
"para que",so,94,CCONJ,5,1,"FN: a fim de, causando",Causation,15,"Lemma not found in database"
"devido a","due to",90,ADP,2,1,"FN: por causa de",Causation,16,"Lemma not found in database"
"para que","so that",91,CCONJ,5,1,"a fim de que. Com o resultado de que.",Causation,23,"Lemma not found in database"
"para que","so that",94,CCONJ,5,1,"a fim de que. Com o resultado de que.",Causation,24,"Lemma not found in database"
portanto,therefore,89,ADV,3,1,"por esse motivo; consequentemente.",Causation,25,"Lemma not found in database"
palavra-código,codeword,83,NOUN,8,1,"FN: Uma palavra ou frase para proteger o segredo.",Communication,26,"Lemma not found in database"
undular,undulate,86,VERB,16,1,"COD: move com um movimento suave e ondulante",Motion,35,"Lemma not found in database"
reproduz,reproduce,86,VERB,16,1,"COD: produz uma cópia ou representação de.",Duplication,47,"Lemma not found in database"
"em imagem","in image",89,ADV,3,1,"descreve que alguma entidade é criada para ter a semelhança de outra entidade, como de uma cópia",Duplication,50,"Lemma not found in database"
compostar,compound,86,VERB,16,1,"COD: mistura ou combina (ingredientes ou constituintes).",Cause_to_amalgamate,65,"Lemma not found in database"
bisectar,bisect,86,VERB,16,1,"FN: cortar ao meio",Separating,71,"Lemma not found in database"
"Encolher os ombros",shrug,86,VERB,16,1,"COD: erguer (ombros de alguém) ligeiramente e momentaneamente para expressar dúvida, ignorância ou indiferença.",Body_movement,88,"Lemma not found in database"
remexer-se,shuffle,86,VERB,16,1,"COD: inquietamente mudar de posição uma.",Body_movement,89,"Lemma not found in database"
ajoelhar-se,kneel,86,VERB,16,1,"COD: cair ou descansar no joelho ou nos joelhos.",Body_movement,94,"Lemma not found in database"
remexer-se,fidget,86,VERB,16,1,"COD: fazer pequenos movimentos por nervosismo ou impaciência.",Body_movement,96,"Lemma not found in database"
abaixar-se,duck,86,VERB,16,1,"COD: abaixe rapidamente a cabeça ou o corpo para evitar um golpe ou projétil ou para não ser visto.",Body_movement,100,"Lemma not found in database"
agachar-se,crouch,86,VERB,16,1,"FN: estar em uma posição onde os joelhos estão flexionados e o tronco superior é levado para frente e para baixo.",Posture,123,"Lemma not found in database"
Sentar-se,sit,86,VERB,16,1,"COD: estar em uma posição na qual o peso é suportado pelo traseiro, em vez dos pés, e a coluna está ereta.",Posture,126,"Lemma not found in database"
encolhidos,huddled,84,ADJ,1,1,"FN: tendo as extremidades desenhadas de forma que o corpo ocupe pouco espaço.",Posture,130,"Lemma not found in database"
Ajoelhar-se,kneel,86,VERB,16,1,"COD: cair ou descansar no joelho ou nos joelhos.",Posture,133,"Lemma not found in database"
deitar-se,"lay back",86,VERB,16,1,"Deitar-se de forma relaxada.",Posture,134,"Lemma not found in database"
presume,presume,86,VERB,16,1,"FN: assume que algo é o caso ausente prova em contrário",Awareness,137,"Lemma not found in database"
Observe,observe,86,VERB,16,1,"FN: detectar um fenômeno",Becoming_aware,148,"Lemma not found in database"
Descubra,"find out",86,VERB,16,1,"FN: descobrir informação ou um facto.",Becoming_aware,149,"Lemma not found in database"
classifique,categorize,86,VERB,16,1,"COD: lugar em uma categoria específica; classificar.",Categorization,152,"Lemma not found in database"
